"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-02-04";"NT014";30;1;"加班 2017-02-04 4h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-02-05";"NT014";30;1;"加班 2017-02-05 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-03-10";"NT014";30;1;"加班 2017-03-10 4h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-04-25";"NT014";30;1;"加班 2017-04-25 2.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-05-20";"NT014";30;1;"加班 2017-05-20 8.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-06-17";"NT014";30;1;"加班 2017-06-17 8h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-12";"NT014";30;1;"加班 2017-12-12 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-14";"NT014";30;1;"加班 2017-12-14 3.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-15";"NT014";30;1;"加班 2017-12-15 2.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-16";"NT014";30;1;"加班 2017-12-16 7h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-21";"NT014";30;1;"加班 2017-12-21 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-25";"NT014";30;1;"加班 2017-12-25 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-26";"NT014";30;1;"加班 2017-12-26 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-28";"NT014";30;1;"加班 2017-12-28 3.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2018-01-02";"NT014";30;1;"加班 2018-01-02 2.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2018-01-03";"NT014";30;1;"加班 2018-01-03 3h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-19";"NT014";30;1;"加班 2017-12-19 4.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
"2017-12-20";"NT014";30;1;"加班 2017-12-20 2.5h";2;"2018-02-20";0;"2018-02-20 00:00:00";"NT014";1;"报销功能上线历史记录数据修正"
